,placeID,Rcuisine,hours,days,Rpayment,parking_lot,latitude,longitude,name,address,city,state,country,smoking_area,price,Rambience,area,other_services
0,135109,Italian,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;,cash,none,18.9217848,-99.2353499,Paniroles,none,none,none,none,not permitted,medium,quiet,closed,Internet
1,135109,Italian,08:00-21:00;,Sat;,cash,none,18.9217848,-99.2353499,Paniroles,none,none,none,none,not permitted,medium,quiet,closed,Internet
2,135109,Italian,08:00-21:00;,Sun;,cash,none,18.9217848,-99.2353499,Paniroles,none,none,none,none,not permitted,medium,quiet,closed,Internet
3,135106,Mexican,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,cash,none,22.1497088,-100.9760928,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,only at bar,medium,familiar,open,none
4,135106,Mexican,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,VISA,none,22.1497088,-100.9760928,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,only at bar,medium,familiar,open,none
5,135106,Mexican,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,MasterCard-Eurocard,none,22.1497088,-100.9760928,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,only at bar,medium,familiar,open,none
6,135106,Mexican,18:00-23:30;,Sat;,cash,none,22.1497088,-100.9760928,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,only at bar,medium,familiar,open,none
7,135106,Mexican,18:00-23:30;,Sat;,VISA,none,22.1497088,-100.9760928,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,only at bar,medium,familiar,open,none
8,135106,Mexican,18:00-23:30;,Sat;,MasterCard-Eurocard,none,22.1497088,-100.9760928,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,only at bar,medium,familiar,open,none
9,135106,Mexican,18:00-21:00;,Sun;,cash,none,22.1497088,-100.9760928,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,only at bar,medium,familiar,open,none
10,135106,Mexican,18:00-21:00;,Sun;,VISA,none,22.1497088,-100.9760928,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,only at bar,medium,familiar,open,none
11,135106,Mexican,18:00-21:00;,Sun;,MasterCard-Eurocard,none,22.1497088,-100.9760928,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,only at bar,medium,familiar,open,none
12,135104,Mexican,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,cash,yes,23.7529821,-99.1684341,vips,none,none,none,none,not permitted,medium,familiar,closed,variety
13,135104,Mexican,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,VISA,yes,23.7529821,-99.1684341,vips,none,none,none,none,not permitted,medium,familiar,closed,variety
14,135104,Mexican,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,MasterCard-Eurocard,yes,23.7529821,-99.1684341,vips,none,none,none,none,not permitted,medium,familiar,closed,variety
15,135104,Mexican,00:00-23:30;,Sat;,cash,yes,23.7529821,-99.1684341,vips,none,none,none,none,not permitted,medium,familiar,closed,variety
16,135104,Mexican,00:00-23:30;,Sat;,VISA,yes,23.7529821,-99.1684341,vips,none,none,none,none,not permitted,medium,familiar,closed,variety
17,135104,Mexican,00:00-23:30;,Sat;,MasterCard-Eurocard,yes,23.7529821,-99.1684341,vips,none,none,none,none,not permitted,medium,familiar,closed,variety
18,135104,Mexican,00:00-23:30;,Sun;,cash,yes,23.7529821,-99.1684341,vips,none,none,none,none,not permitted,medium,familiar,closed,variety
19,135104,Mexican,00:00-23:30;,Sun;,VISA,yes,23.7529821,-99.1684341,vips,none,none,none,none,not permitted,medium,familiar,closed,variety
20,135104,Mexican,00:00-23:30;,Sun;,MasterCard-Eurocard,yes,23.7529821,-99.1684341,vips,none,none,none,none,not permitted,medium,familiar,closed,variety
21,135088,Cafeteria,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;,cash,public,18.8760113,-99.2198896,Cafeteria cenidet,Interior Internado Palmira SN,Cuernavaca,Morelos,Mexico,not permitted,low,quiet,closed,none
22,135088,Cafeteria,00:00-00:00;,Sat;,cash,public,18.8760113,-99.2198896,Cafeteria cenidet,Interior Internado Palmira SN,Cuernavaca,Morelos,Mexico,not permitted,low,quiet,closed,none
23,135088,Cafeteria,00:00-00:00;,Sun;,cash,public,18.8760113,-99.2198896,Cafeteria cenidet,Interior Internado Palmira SN,Cuernavaca,Morelos,Mexico,not permitted,low,quiet,closed,none
24,135086,Burgers,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,cash,yes,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,SLP,Mexico,not permitted,medium,familiar,closed,none
